TAHUN,AJAG,QJAG,DJAG,STJG,PPJ,PKJ,XJAG,T,MJAG,ERI,PBR,POPI,INP,PPU,UTK,IHKI,PMJ,LPPJ,LINP,LPBR,LPOPI,LAJAG,LPPU,LUTK,LPMJ
1985,2440,4330,3089509,3942,132.25,164.26,3542,1,49863,2567,318,167135154,477284,92.53,6554,12.45,1440146,,,,,,,,
1986,3143,5920,3005643,4198,147.62,179.77,4433,2,57369,3119,343,169584644,604688,118.78,6708,13.6,1094842162,132.25,477284,318,167135154,2440,92.53,6554,1440146
1987,2626,5156,2566076,4454,164.32,224.05,4.68,3,220998,4159,383,171472000,727914,132.25,6863,14.86,112602829,147.62,604688,343,169584644,3143,118.78,6708,1094842162
1988,3406,6652,2761138,4709,189.89,250.29,37454,4,63454,4431,466,174767000,813110,147.62,7017,16.06,129652977,164.32,727914,383,171472000,2626,132.25,6863,112602829
1989,2944,6193,2617389,4965,212.2,264.63,232093,5,33.34,4721,493,178007000,939203,173.97,7172,17.09,1378824235,189.89,813110,466,174767000,3406,147.62,7017,129652977
1990,3158,6734,3804687,5287,233.17,289.8,136641,6,0.515,2304,519,178633239,1097812,201.86,7270,18.42,4213592233,212.2,939203,493,178007000,2944,173.97,7172,1378824235
1991,2909,6256,3514205,5206,257.07,317.72,30742,7,323176,1768,558,181786329,1253971,228.12,7497,20.16,1413687898,233.17,1097812,519,178633239,3158,201.86,7270,4213592233
1992,3629,7995,4006561,6390,264.31,324.49,136523,8,55498,1919,604,184916848,1408657,248.59,7730,21.67,1385094958,257.07,1253971,558,181786329,2909,228.12,7497,1413687898
1993,2940,6460,3362659,5412,286.04,350.73,52008,9,494446,2110,592,188019278,1609997,271.7,7773,23.77,136718671,264.31,1408657,604,184916848,3629,248.59,7730,1385094958
1994,3109,6869,3294584,6321,325.37,414.6,34091,10,1109253,2200,660,191085673,2004551,294.57,7904,25.8,1369074503,286.04,1609997,592,188019278,2940,271.7,7773,136718671
1995,3652,8246,5890178,6400,367.74,498.46,74.88,11,969145,2308,776,194112556,2345879,333.1,8349,28.23,1576224404,325.37,2004551,660,191085673,3109,294.57,7904,1369074503
1996,3744,9307,6419123,6901,427.86,528.25,26.83,12,616942,2383,885,197097887,2706042,389.48,8521,30.48,2153962609,367.74,2345879,776,194112556,3652,333.1,8349,1576224404
1997,3355,8771,6114902,7250,459.53,560.17,18957,13,1098354,4650,1064,200050444,3141037,444.1,8788,32.38,1563020665,427.86,2706042,885,197097887,3744,389.48,8521,2153962609
1998,3848,10169,5221514,8401,632.26,1089.16,632515,14,313463,8025,2099,202990922,4760843,572.56,7545,51.28,152611313,459.53,3141037,1064,200050444,3355,444.1,8788,1563020665
1999,3456,9204,4820013,8554,1045.37,1381.54,96647,15,618.06,7100,2666,205946831,5421911,1088.4,8585,61.79,1299550205,632.26,4760843,2099,202990922,3848,572.56,7545,152611313
2000,3500,9667,5891195,9615,1028.65,1466,28066,16,1264575,9595,2424,208938698,6145065,1352.81,10519,64.09,124902833,1045.37,5421911,2666,205946831,3456,1088.4,8585,1299550205
2001,3286,9347,1907896,7841,1138.52,1746.58,90474,17,1035797,10400,2537,211970371,7841309,1442.63,10705,71.46,1211743228,1028.65,6145065,2424,208938698,3500,1352.81,10519,124902833
2002,3109,9585,2784951,7130,1212.1,2001.95,16306,18,1154063,8940,2826,215038285,8546508,1533.47,11494,79.95,1195619303,1138.52,7841309,2537,211970371,3286,1442.63,10705,1211743228
2003,3359,10886,2943.79,8065,1255.21,1737.63,33691,19,1345452,8465,2786,218145617,9304089,1591.82,12371,85.22,1253541561,1212.1,8546508,2826,215038285,3109,1533.47,11494,1195619303
2004,3357,11225,3039182,8114,1366.81,1699.66,32679,20,1088928,9290,2851,221293797,10447921,1621.74,13339,90.54,1631650577,1255.21,9304089,2786,218145617,3359,1591.82,12371,1253541561
2005,3626,12524,3149746,8633,1543.24,1895.66,54009,21,185597,9900,3479,224480901,12435035,1664.35,15693,100,1662203592,1366.81,10447921,2851,221293797,3357,1621.74,13339,1631650577
2006,3346,11609,7955881,4493,1802.02,2163.54,28074,22,1775321,9020,4197,227709821,14741638,1782.54,18299,113.11,1563086338,1543.24,12435035,3479,224480901,3626,1664.35,15693,1662203592
2007,3630,13288,3624.54,9603,2238.43,2630.93,101459,23,701953,9419,5031,230972808,17179216,1855.23,20372,120.36,2159873952,1802.02,14741638,4197,227709821,3346,1782.54,18299,1563086338
2008,4002,16317,3532549,11964,2501.47,3572.75,107001,24,264665,10950,5288,234243489,21013539,1940.96,21437,132.12,330209888,2238.43,17179216,5031,230972808,3630,1855.23,20372,2159873952
2009,4161,17630,3992274,12506,2744.74,3951.88,75283,25,338798,9400,5705,237486894,23647683,2042.21,21954,138.48,229756374,2501.47,21013539,5288,234243489,4002,1940.96,21437,330209888
2010,4132,18328,4843621,13337,2933.9,4615.81,41954,26,1527516,8991,6755,240676485,26786768,2143.47,22238,145.59,2416190731,2744.74,23647683,5705,237486894,4161,2042.21,21954,229756374
2011,3865,17643,326168,14855,3106.93,4885,12472,27,3207657,9068,7379,243801639,30424352,2225.53,23098,153.4,3206474383,2933.9,26786768,6755,240676485,4132,2143.47,22238,2416190731
2012,3958,19387,4720191,14367,4093.42,5501,39817,28,1805392,9334,7198,246864191,31300948.79,2316.42,22597,132.9,2974473134,3106.93,30424352,7379,243801639,3865,2225.53,23098,3206474383
2013,3822,18512,4852494,14783,3485.54,5727,11418,29,3194419,10399,8409,248800000,32790167.6,2407.3,23304,142.18,2885917596,4093.42,31300948.79,7198,246864191,3958,2316.42,22597,2974473134
2014,3837,19008,5378562,14029,3670.42,5786,37889,30,3175362,11818,8922,252164800,33978238.04,2498.19,23650,113.42,2493835349,3485.54,32790167.6,8409,248800000,3822,2407.3,23304,2885917596
